what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1333450892125
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1333450892171
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1333450899375
error,log,,,"Server JBoss v4.2 at localhost was unable to start within 50 seconds. If the server requires more time, try increasing the timeout in the server editor.",1333450937796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333450938093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333450943625
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333450945750
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1333450950578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333450953390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333450966515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1333450966562
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333450968218
opened,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1333450972359
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1333450972515
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333450989609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1333450993593
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1333450995765
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1333450999765
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1333451001171
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1333451034031
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1333451041375
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1333451041640
closed,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1333451041640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451048718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451073625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333451081187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451085656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451087421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333451091765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451093843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451128718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451137343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451229843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333451254140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451255828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451275687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451289234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451311296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333451313906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333451314437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333451314828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451337265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1333451337296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451345281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333451347468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451353671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451354750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1333451356687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451358000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333451359171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451365296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451366515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451366609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333451370812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451371640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451378406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333451403781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451404593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451422171
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333451424687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451427703
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1333451455812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451456000
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1333451456515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451461953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451525906
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1333451528140
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1333451538609
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1333451540812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451546312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451594312
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333451594359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1333451598484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451599015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451600484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451601156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451650109
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1333451650125
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333451681937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451699078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451711734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1333451719703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451721781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451802218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1333451810406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451814296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451865125
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1333451867703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451871343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451938312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333451944953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333452016781
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1333452019078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333452021484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333452041625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333452042656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333452044265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333452049875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333452116421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333452116484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333452117750
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333452119781
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1333452124859
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1333452125125
